Hisse     Fiyat     Adet      Alis/Satis
PAMEL     183,9     11        Alis
ZOREN     5,16      388       Alis
ASELS     48,96     40        Alis
KARTN     64,9      31        Alis
AKFYE     11,06     180       Alis
SOKE      12,52     100       Alis
PAMEL     177       5         Alis
GOKNR     12,94     153       Alis
ALTIN     14,34     100       Alis
AHGAZ     8,01      125       Alis
USDTRF    2229,6    2         Alis
ALTIN     15,030    73        Alis
PAMEL     167,9     5         Alis
ALTIN     15,01     9         Alis
USDTRF    2277,8    16        Alis
ALTIN     15,05     8         Alis
AHGAZ     7,84      125       Satis
SOKE      13,2      100       Satis
PAMEL     159,2     8         Alis
ALTIN     15,229    2         Alis
AKFYE     11,319    1         Alis
ZOREN     1         388       Alis
USDTRF    2256      2         Satis
USDTRF    2210,2    8         Satis
ZOREN     3,44      776       Satis
ALTIN     16,38     1513      Alis
GOKNR     13,21     153       Satis
ASELS     57,55     40        Satis
AKFYE     11,56     181       Satis
KARTN     68,55     31        Satis
USDTRF    2459,8    3         Alis
PAMEL     139,6     8         Alis
PAMEL     141       37        Satis
USDTRF    2459,4    2         Alis
ALTIN     17,03     16        Alis
ALTIN     17,3      101       Satis
USDTRF    2470,3    1         Satis
ALTIN     18,441    1620      Satis
KRDMD     22,66     88        Alis
USDTRF    2581      10        Alis
KRDMD     21,68     27        Satis
USDTRF    2577,900  1         Alis
USDTRF    2563,5    1         Satis
IAT       1         1         Alis
IAT       1613,26   1         Satis
MKG       1         1         Alis
MKG       1275,58   1         Satis
AES       92,96     1         Alis
AES       1         1         Satis
HALKAARZ  1         1         Alis
HALKAARZ  4000      1         Satis
CANTE     21,54     50        Alis
KARTN     73,1      27        Alis
KRDMA     19,75     100       Alis
KRDMB     19,75     100       Alis
PETKM     16,49     120       Alis
SISE      49,96     40        Alis
THYAO     225,3     9         Alis
TKFEN     43,6      25        Alis
TUPRS     90,3      22        Alis
USDTRF    2548,2    2         Satis
USDTRF    2553,9    5         Satis
KRDMD     22        30        Alis
CANTE     19,96     25        Alis
ALTIN     18,26     108       Alis
KARTN     82        24        Satis
CANTE     18,87     57        Alis
USDTRF    2552      7         Satis
CANTE     17,23     66        Alis
USDTRF    2552      1         Satis
CANTE     19        66        Satis
EREGL     38,08     26        Alis
USDTRF    2546,2    1         Satis
ALTIN     18,07     12        Alis
DOAS      238       9         Alis
SISE      49,42     14        Alis
USDTRF    2540,7    2         Satis
VESTL     62,15     17        Alis
HLGYO     5,01      200       Alis
KOZAA     62,45     16        Alis
BMSTL     42,88     46        Alis
CANTE     21,4      118       Satis
TUPRS     103       19        Satis
PETKM     18,24     108       Satis
SOKE      15,8      126       Alis
ASELS     75,95     25        Alis
KRDMD     25,06     82        Satis
EREGL     41,26     24        Satis
NIBAS     16,48     60        Alis
VESTL     61,8      16        Alis
KOZAA     61,30     17        Alis
KOPOL     66,95     30        Alis
ASELS     74,65     2         Alis
TKFEN     45,04     9         Alis
TUPRS     103,3     3         Satis
PETKM     18,07     12        Satis
KRDMD     25,2      9         Satis
EREGL     41,58     2         Satis
CANTE     20,956    14        Satis
BMSTL     42,86     1         Alis
NIBAS     16,19     62        Alis
TKFEN     44,62     7         Alis
ALTIN     18,15     90        Satis
HLGYO     5,07      200       Alis
TKFEN     45,78     4         Alis
KAREL     23,02     20        Alis
KAYSE     30,7      65        Alis
TMSN      72,75     28        Alis
KAREL     22,82     70        Alis
USDTRF    2543,5    1         Alis
ALTIN     18,15     540       Alis
ALTIN     18,15     120       Alis
AKFYE     14,76     136       Alis
FENER     74,85     27        Alis
KARTN     83,05     3         Satis
THYAO     250       9         Satis
SISE      55,05     54        Satis
ALTIN     18,07     200       Alis
ZOREN     4,17      240       Alis
TMSN      68,4      10        Alis
BMSTL     47,36     47        Satis
KAYSE     30,82     5         Alis
KOZAA     57,5      12        Alis
AKENR     5,64      355       Alis
ENKAI     33,52     60        Alis
ALKA      31,98     63        Alis
POLHO     11,44     175       Alis
KCHOL     133,3     15        Alis
DOAS      260,9     9         Satis
AKFYE     16,4      136       Satis
KRDMA     21,98     100       Satis
